,Name,Total
173,Y. Carrasco,260.0
174,Gerard Moreno,229.0
175,Felipe,189.0
176,M. Kovačić,235.0
177,Kepa,154.0
178,Manu Trigueros,226.0
179,S. Gnabry,259.0
180,J. Pickford,191.0
181,S. Savić,198.0
182,J. Stones,210.0
183,Suso,247.0
184,J. Draxler,241.0
185,Felipe Anderson,256.0
186,Lucas Moura,264.0
187,Danilo Pereira,197.0
188,Nacho Fernández,209.0
189,T. Horn,175.0
190,Allan,249.0
191,F. Acerbi,179.0
192,Sergi Roberto,227.0
193,Rodrigo,252.0
194,Pizzi,240.0
195,K. Kampl,259.0
196,Neto,191.0
197,O. Baumann,173.0
198,I. Gueye,237.0
199,H. Mkhitaryan,250.0
200,Marcos Alonso,217.0
201,D. Subašić,171.0
202,K. Glik,162.0
203,K. Strootman,213.0
204,B. Dost,166.0
205,Oscar,242.0
206,M. Balotelli,215.0
207,Luiz Gustavo,213.0
208,Giuliano,251.0
209,David Luiz,203.0
210,R. Fährmann,160.0
211,Juan Mata,238.0
212,Adán,188.0
213,Rui Patrício,194.0
214,Y. Sommer,183.0
215,Javi Martínez,185.0
216,L. Bender,214.0
217,Lucas Leiva,227.0
218,S. Mandanda,185.0
219,Cesc Fàbregas,199.0
220,M. Dembélé,234.0
221,F. Ribéry,245.0
222,R. Jarstein,151.0
223,D. De Rossi,207.0
224,Pepe Reina,182.0
225,J. Pavlenka,152.0
226,M. de Ligt,195.0
227,Rodri,218.0
228,Arthur,228.0
229,G. Donnarumma,184.0
230,Rosberto Dourado,232.0
231,Juiano Mestres,207.0
232,Raphaelito Anjos,157.0
233,Gelson Martins,272.0
234,Gonçalo Guedes,254.0
235,L. Torreira,243.0
236,Malcom,259.0
237,Pau López,159.0
238,L. Hernández,230.0
239,C. Lenglet,213.0
240,A. Kramarić,241.0
241,A. Robertson,240.0
242,Dani García,192.0
243,F. Bernardeschi,248.0
244,J. Brandt,240.0
245,D. Rugani,193.0
246,Samu Castillejo,250.0
247,João Cancelo,251.0
248,A. Romagnoli,201.0
249,T. Partey,222.0
250,Fred,243.0
251,J. Vardy,252.0
252,A. Belotti,233.0
253,E. Forsberg,239.0
254,J. Lingard,253.0
255,F. Vázquez,205.0
256,E. Višća,263.0
257,A. Rüdiger,208.0
258,A. Florenzi,253.0
259,H. Maguire,170.0
260,T. Meunier,217.0
261,S. Sané,201.0
262,G. Kondogbia,229.0
263,Rafinha,230.0
264,Gabriel Paulista,220.0
265,Morata,221.0
266,J. Cillessen,180.0
267,W. Ben Yedder,261.0
268,C. Bakambu,249.0
269,Pablo Sarabia,232.0
270,W. Zaha,254.0
271,Luis Alberto,239.0
272,Jonathan Viera,256.0
273,Bartra,229.0
274,S. Coates,153.0
275,Willian José,208.0
276,Mário Fernandes,238.0
277,Víctor Ruiz,189.0
278,T. Delaney,230.0
279,K. Casteels,175.0
280,M. Götze,244.0
281,S. Mustafi,203.0
282,J. Pastore,226.0
283,Pedro,242.0
284,G. Bonaventura,234.0
285,R. Bürki,172.0
286,Taison,262.0
287,S. Nzonzi,161.0
288,Marlos,254.0
289,A. Ramsey,218.0
290,K. Trippier,231.0
291,A. Kolarov,220.0
292,G. Sigurðsson,204.0
293,S. Giovinco,262.0
294,M. Arnautović,227.0
295,N. Gaitán,253.0
296,J. Henderson,217.0
297,M. Kruse,228.0
298,M. Parolo,217.0
299,L. Fejsa,187.0
300,A. Rami,181.0
301,V. Ćorluka,183.0
302,G. Wijnaldum,239.0
303,F. Fazio,149.0
304,O. Giroud,183.0
305,Marcano,203.0
306,A. Guardado,237.0
307,E. Garay,164.0
308,Jardel,162.0
309,S. Sirigu,177.0
310,E. Viviano,139.0
311,L. Koscielny,205.0
312,A. Consigli,180.0
313,L. Biglia,221.0
314,Dani Alves,238.0
315,David Villa,226.0
316,Aduriz,199.0
317,P. Čech,158.0
318,Casillas,198.0
319,M. Rashford,257.0
320,Laure Santeiro,255.0
321,L. Bailey,260.0
322,M. Akanji,222.0
323,F. de Jong,241.0
324,Nélson Semedo,261.0
325,Pablo Fornals,226.0
326,Fabián,221.0
327,E. Bailly,207.0
328,Dani Ceballos,235.0
329,H. Lozano,262.0
330,Morales,241.0
331,J. Seri,232.0
332,M. Politano,254.0
333,M. Brozović,220.0
334,Williams,250.0
335,A. Correa,256.0
336,A. Christensen,207.0
337,João Mário,227.0
338,T. Strakosha,146.0
339,E. Hysaj,234.0
340,P. Zieliński,237.0
341,Ricardo Pereira,251.0
342,Grimaldo,249.0
343,R. Guerreiro,253.0
344,A. Doucouré,197.0
345,J. Martínez,259.0
346,C. Bacca,226.0
347,A. Plea,238.0
348,B. Davies,224.0
349,M. Nastasić,210.0
350,A. Milik,212.0
351,M. Sabitzer,243.0
352,B. Mendy,225.0
353,C. Kramer,203.0
354,S. Vrsaljko,226.0
355,T. Hazard,258.0
356,K. Bellarabi,257.0
357,S. Zaza,233.0
358,F. Ghoulam,222.0
359,B. Lecomte,158.0
360,J. Iličić,217.0
361,K. Volland,233.0
362,Paco Alcácer,249.0
363,Vitolo,232.0
364,G. Xhaka,173.0
365,D. Tadić,229.0
366,C. Aránguiz,232.0
367,S. Verdi,258.0
368,D. Lovren,179.0
369,G. Medel,230.0
370,X. Shaqiri,248.0
371,J. Corona,259.0
372,A. Areola,184.0
373,K. Vogt,203.0
374,Ander Herrera,236.0
375,E. Salvio,252.0
376,S. El Shaarawy,243.0
377,C. Smalling,191.0
378,Hulk,232.0
379,S. Kagawa,242.0
380,M. Lanzini,243.0
381,F. Smolov,237.0
382,L. Stindl,228.0
383,O. Toprak,216.0
384,D. Perotti,249.0
385,F. Muslera,204.0
386,B. Höwedes,193.0
387,S. Kjær,169.0
388,S. Bender,206.0
389,M. Valbuena,244.0
390,Pedro León,207.0
391,K. Boateng,223.0
392,L. Piszczek,221.0
393,A. Candreva,229.0
394,D. Wass,233.0
395,E. Lamela,229.0
396,D. Rose,230.0
397,C. Vela,237.0
398,Renato Augusto,213.0
399,A. Valencia,236.0
400,L. Fabiański,173.0
401,João Moutinho,217.0
402,Borja Valero,210.0
403,F. Quagliarella,225.0
404,B. Gomis,206.0
405,Manuel Fernandes,241.0
406,H. Herrera,215.0
407,Raffael,239.0
408,Nani,246.0
409,J. Milner,216.0
410,J. Mathieu,194.0
411,Joaquín,221.0
412,M. Gómez,183.0
413,K. Havertz,233.0
414,T. Ndombele,246.0
415,H. Aouar,238.0
416,Carlos Soler,230.0
417,Odriozola,235.0
418,M. Almirón,255.0
419,Welington Dano,241.0
420,Everton Andrão,225.0
421,Oyarzabal,223.0
422,F. Balbuena,175.0
423,M. Marega,230.0
424,B. Pavard,214.0
425,W. Ndidi,219.0
426,A. Onana,210.0
427,G. Lo Celso,230.0
428,M. Acuña,239.0
429,Rúben Neves,206.0
430,Mariano,245.0
431,Raúl,188.0
432,M. Caldara,200.0
433,M. Vecino,223.0
434,T. Bakayoko,205.0
435,M. Dahoud,244.0
436,Rafa,259.0
437,K. Baldé,250.0
438,G. Rulli,188.0
439,F. Armani,159.0
440,Rony Lopes,245.0
441,Santi Mina,235.0
442,K. Demirbay,225.0
443,Gayà,247.0
444,André Gomes,212.0
445,N. Tagliafico,239.0
446,M. Sanson,236.0
447,Pacheco,187.0
448,E. Can,220.0
449,H. Çalhanoğlu,229.0
450,M. Ginter,189.0
451,M. Keane,192.0
452,L. Paredes,226.0
453,T. Stepanenko,209.0
454,L. Shaw,234.0
455,Z. Feddal,169.0
456,S. Haller,218.0
457,Bernard,268.0
458,T. Inui,258.0
459,Portu,231.0
460,M. Batshuayi,231.0
461,E. Zahavi,239.0
462,T. Vaclík,142.0
463,N. Pope,157.0
464,Héctor Bellerín,254.0
465,P. Kadeřábek,226.0
466,J. Butland,186.0
467,J. Vestergaard,142.0
468,J. Tarkowski,188.0
469,Deulofeu,257.0
470,E. Dier,192.0
471,J. Murillo,225.0
472,M. Badelj,201.0
473,Ismaily,237.0
474,N. Schulz,242.0
475,L. Digne,221.0
476,M. Uth,236.0
477,Cristian Tello,246.0
478,D. Vida,209.0
479,L. Muriel,250.0
480,V. Aboubakar,225.0
481,A. Oxlade-Chamberlain,243.0
482,S. Aurier,233.0
483,J. Matip,190.0
484,Y. Rakitskyi,213.0
485,Sergi Enrich,212.0
486,A. Yarmolenko,224.0
487,Hugo Mallo,228.0
488,André Almeida,213.0
489,D. Didavi,226.0
490,R. Rodríguez,226.0
491,R. Pereyra,224.0
492,Mario Gaspar,223.0
493,Maicon,151.0
494,D. Blind,218.0
495,J. Zoet,188.0
496,A. Ljajić,237.0
497,Canales,215.0
498,Iago Falqué,242.0
499,L. de Jong,192.0
500,Guaita,186.0
501,Muniain,252.0
502,Susaeta,235.0
503,S. Rudy,229.0
504,K. Trapp,167.0
505,V. Wanyama,203.0
506,N. Nkoulou,214.0
507,R. Boudebouz,227.0
508,Camacho,212.0
509,S. Ulreich,154.0
510,M. Musacchio,218.0
511,C. Stuani,216.0
512,P. Gulácsi,155.0
513,Bruno,160.0
514,F. Delph,243.0
515,A. Lallana,222.0
516,Marcelo,174.0
517,S. Coleman,230.0
518,Alexandre Pato,245.0
519,Antunes,230.0
520,Nacho Monreal,224.0
521,Beñat,212.0
522,A. Fernández,224.0
523,K. Gameiro,247.0
524,I. Piatti,246.0
525,V. Birsa,214.0
526,S. Romero,177.0
527,D. Criscito,224.0
528,D. Valeri,214.0
529,D. Sturridge,224.0
530,Raúl García,199.0
531,S. Defour,218.0
532,M. Škrtel,170.0
533,S. Radu,218.0
534,G. Cahill,172.0
535,L. Diarra,225.0
536,L. Perrin,201.0
537,Dante,166.0
538,A. Granqvist,177.0
539,A. Gignac,213.0
540,M. Gómez,205.0
541,I. Akinfeev,175.0
542,I. Denisov,220.0
543,Juanfran,230.0
544,Diego López,160.0
545,Santi Cazorla,206.0
546,Jesús Navas,254.0
547,J. Mascherano,220.0
548,A. Mirante,171.0
549,D. Srna,218.0
550,B. Schweinsteiger,178.0
551,Moyá,174.0
552,W. Rooney,213.0
553,Fernando Torres,214.0
554,S. Sorrentino,153.0
555,V. Tsygankov,237.0
556,Rúben Dias,185.0
557,David Neres,248.0
558,Raphinha,253.0
559,A. Harit,253.0
560,Richarlison,239.0
561,L. Martínez,236.0
562,F. Kessié,215.0
563,Luimo Boas Santos,251.0
564,Gabri Prestão,200.0
565,Melvin Parrela,204.0
566,Antônio Chiamuloira,195.0
567,Maikel Catarino,246.0
568,A. Lunev,170.0
569,André Silva,231.0
570,C. Pulisic,259.0
571,M. Dmitrović,144.0
572,L. Tousart,209.0
573,Marcos Llorente,193.0
574,B. Verbič,242.0
575,S. Bergwijn,236.0
576,A. Diallo,228.0
577,A. Golovin,241.0
578,M. Campaña,151.0
579,C. Pavón,262.0
580,K. Toko-Ekambi,239.0
581,Granell,208.0
582,F. Cervi,266.0
583,J. Weigl,229.0
584,V. Lindelöf,209.0
585,A. Rebić,235.0
586,A. Sanabria,229.0
587,R. Battaglia,205.0
588,M. Philipp,246.0
589,A. Saint-Maximin,263.0
590,D. Zappacosta,222.0
591,L. Alario,214.0
592,D. Benedetto,229.0
593,I. Marcone,193.0
594,J. Gbamin,220.0
595,J. Lerma,221.0
596,Ricardo Horta,244.0
597,R. Zobnin,223.0
598,M. Meyer,244.0
599,Bruma,262.0
600,R. Centurión,255.0
601,Jonny,220.0
602,Otávio,242.0
603,J. Hofmann,235.0
604,N. Aké,222.0
605,J. Hector,222.0
606,S. Kolašinac,194.0
607,G. Pizarro,196.0
608,Roger,231.0
609,Sergio Rico,186.0
610,L. Milivojević,188.0
611,D. Baselli,229.0
612,K. Rekik,207.0
613,Denis Suárez,241.0
614,W. Orban,173.0
615,Mário Rui,254.0
616,Iñigo Martínez,213.0
617,K. Zouma,179.0
618,Roque Mesa,226.0
619,J. Brooks,196.0
620,L. Karius,181.0
621,Zé Luís,224.0
622,D. Klaassen,216.0
623,M. Elyounoussi,243.0
624,L. Bittencourt,258.0
625,Sergi Darder,209.0
626,J. Roussillon,237.0
627,D. Demme,232.0
628,J. Gouweleeuw,211.0
629,M. Rojo,210.0
630,J. Veretout,227.0
631,L. Kurzawa,234.0
632,G. Ramírez,224.0
633,David López,180.0
634,C. Tătăruşanu,183.0
635,A. Mandi,218.0
636,D. Sidibé,223.0
637,Y. Konoplyanka,249.0
638,S. Berghuis,238.0
639,H. Vanaken,181.0
640,Campaña,206.0
641,M. van Ginkel,210.0
642,Nolito,240.0
643,M. Gregoritsch,210.0
644,Ibai Gómez,233.0
645,Danilo,222.0
646,R. Barkley,209.0
647,M. Ryan,179.0
648,Sergio León,234.0
649,B. Stambouli,210.0
650,J. Guilavogui,197.0
651,Sérgio Oliveira,202.0
652,D. Caligiuri,232.0
653,C. Wilson,235.0
654,P. Jones,183.0
655,Borja García,228.0
656,Y. Belhanda,239.0
657,G. Pezzella,163.0
658,Jaume Costa,224.0
659,C. Tosun,225.0
660,Escudero,224.0
661,Kike García,205.0
662,Elkeson,238.0
663,Ricardo Goulart,228.0
664,J. Guðmundsson,232.0
665,N. Clyne,231.0
666,M. Hitz,154.0
667,De Marcos,235.0
668,B. Mee,200.0
669,Rafael,243.0
670,Iborra,165.0
671,J. Wilshere,220.0
672,B. Hübner,177.0
673,Souza,212.0
674,F. Coquelin,217.0
675,Alex Teixeira,265.0
676,A. Dzagoev,232.0
677,I. Smolnikov,239.0
678,Y. M'Vila,223.0
679,K. Asamoah,240.0
680,R. Zieler,169.0
681,D. Drinkwater,207.0
682,N. Kalinić,214.0
683,Mariano,238.0
684,S. Feghouli,247.0
685,Adrien Silva,210.0
686,Fernando,209.0
687,I. Traoré,262.0
688,G. Mercado,213.0
689,N. Petersen,205.0
690,O. Karnezis,164.0
691,M. Sakho,169.0
692,Sidnei,176.0
693,S. Jovetić,223.0
694,Eder,244.0
695,J. Hernández,234.0
696,Fabricio,190.0
697,Kiko Casilla,149.0
698,Ángel,233.0
699,M. Schneiderlin,203.0
700,M. Fellaini,169.0
701,P. Wernbloom,185.0
702,D. Ospina,150.0
703,S. Mignolet,158.0
704,A. Begović,178.0
705,N. Şahin,196.0
706,R. Bertrand,227.0
707,A. Masiello,197.0
708,T. Walcott,245.0
709,Charles,230.0
710,T. Heaton,183.0
711,H. Ben Arfa,229.0
712,D. Abraham,213.0
713,E. Lavezzi,253.0
714,S. Kalou,225.0
715,J. Farfán,236.0
716,R. Babel,231.0
717,A. Young,234.0
718,J. Hart,178.0
719,L. López,235.0
720,D. Baier,205.0
721,B. Yılmaz,234.0
722,R. Adler,171.0
723,S. Lichtsteiner,217.0
724,E. Adebayor,208.0
725,E. Belözoğlu,195.0
726,Loren,201.0
727,Éder Militão,228.0
728,F. Chiesa,248.0
729,M. Lazzari,234.0
730,A. Hakimi,241.0
731,S. Nakajima,264.0
732,L. Jović,227.0
733,S. Ascacíbar,227.0
734,A. Lafont,172.0
735,T. Alexander-Arnold,231.0
736,F. Krovinović,218.0
737,Sidney Pessinho,204.0
738,Everticinho,243.0
739,Claudio Coíntra,255.0
740,Ronaldo Esler,254.0
741,P. Lees-Melou,224.0
742,B. Chilwell,226.0
743,João Novais,231.0
744,D. Calabria,238.0
745,F. Mendy,244.0
746,L. Pellegrini,218.0
747,Soares,228.0
748,Daniel Podence,263.0
749,M. Díaz,144.0
750,G. Martínez,261.0
751,M. Eggestein,216.0
752,Trezeguet,229.0
753,N. Amiri,231.0
754,Vallejo,213.0
755,J. Gomez,221.0
756,Diogo Jota,254.0
757,Joan Jordán,202.0
758,Dyego Sousa,186.0
759,A. Marušić,228.0
760,David Soria,169.0
761,V. Rongier,223.0
762,W. Weghorst,196.0
763,O. Al Soma,219.0
764,M. Nakamba,232.0
765,Petros,220.0
766,Pablo Maffeo,233.0
767,Y. Mina,170.0
768,M. Dúbravka,166.0
769,Diego Carlos,208.0
770,D. Djené,231.0
771,G. Simeone,231.0
772,M. Meza,240.0
773,Bastos,207.0
774,S. Lobotka,222.0
775,Y. Tielemans,194.0
776,Marcelo Goiano,231.0
777,K. Tete,214.0
778,Capa,230.0
779,M. Sportiello,177.0
780,Jemerson,215.0
781,N. Maksimović,182.0
782,D. Zapata,206.0
783,J. Correa,228.0
784,E. Rigoni,242.0
785,C. Izquierdoz,164.0
786,W. Barrios,228.0
787,J. Mojica,233.0
788,A. Selikhov,133.0
789,A. Iwobi,231.0
790,D. Laxalt,243.0
791,N. Bentaleb,217.0
792,N. Stark,210.0
793,M. Lemina,220.0
794,L. Dendoncker,191.0
795,Ricardo Esgaio,233.0
796,P. Sisto,236.0
797,P. Max,234.0
798,R. Gagliardini,204.0
799,Pere Pons,214.0
800,D. Berardi,239.0
801,M. Halstenberg,207.0
802,J. Quintero,235.0
803,Tiago Volpi,197.0
804,Óliver Torres,228.0
805,Omar Mascarell,214.0
806,H. Sakai,225.0
807,Andreas Pereira,230.0
808,A. Januzaj,238.0
809,B. Cristante,201.0
810,Matheus,163.0
811,B. Traoré,248.0
812,Y. Poulsen,233.0
813,L. Trossard,255.0
814,M. Arnold,215.0
815,M. De Sciglio,226.0
816,Leo Baptistao,234.0
817,V. Chiricheş,197.0
818,L. Pavoletti,207.0
819,A. Cragno,140.0
820,L. Castro,232.0
821,N. Füllkrug,208.0
822,F. Fajr,215.0
823,R. Jiménez,218.0
824,E. Sala,195.0
825,S. García,206.0
826,S. Arias,238.0
827,B. Reynet,159.0
828,Pozuelo,214.0
829,A. Trebel,234.0
830,J. Lascelles,202.0
831,T. Kongolo,213.0
832,A. Carrillo,240.0
833,Álvaro,216.0
834,G. Defrel,245.0
835,Fernando,217.0
836,V. Darida,226.0
837,R. Saponara,209.0
838,Pedro Mendes,192.0
839,C. Schindler,193.0
840,N. Chadli,214.0
841,Arbilla,190.0
842,L. Dunk,164.0
843,P. Hernández,219.0
844,J. Guidetti,207.0
845,Sergi Gómez,174.0
846,Oriol Romeu,179.0
847,Lucas Pérez,226.0
848,B. Natcho,211.0
849,Cláudio Ramos,191.0
850,F. Lejeune,169.0
851,G. Krychowiak,194.0
852,N. Lodeiro,228.0
853,O. Özyakup,232.0
854,C. Tévez,223.0
855,K. Papadopoulos,182.0
856,M. Gradel,243.0
857,M. Debuchy,226.0
858,V. Moses,231.0
859,Z. Junuzović,238.0
860,Granero,200.0
861,J. Baumgartlinger,207.0
862,Fábio Coentrão,232.0
863,B. Costil,162.0
864,Hilton,154.0
865,N. Gudelj,195.0
866,L. Pratto,209.0
867,E. Hernández,224.0
868,Jurado,230.0
869,R. Cabella,246.0
870,Rafael Tolói,207.0
871,C. Bravo,194.0
872,Hernanes,206.0
873,K. Honda,223.0
874,A. Dzyuba,191.0
875,J. Holebas,219.0
876,Javi García,197.0
877,Sergio,169.0
878,M. Cáceres,228.0
879,Daniel Carriço,178.0
880,J. Cork,198.0
881,J. Tomkins,164.0
882,Guilherme,165.0
883,Gervinho,255.0
884,J. Shelvey,197.0
885,R. Eremenko,207.0
886,R. Vormer,209.0
887,J. Lens,242.0
888,Adriano,233.0
889,S. Cook,187.0
890,L. Podolski,219.0
891,C. Ansaldi,233.0
892,Manu García,189.0
893,R. Alessandrini,257.0
894,J. Ward-Prowse,215.0
895,M. Harnik,220.0
896,B. Moukandjo,250.0
897,G. Pereiro,220.0
898,G. Castro,227.0
899,Aarón Martín,221.0
900,F. Johnson,226.0
901,L. López,201.0
902,M. Dossevi,228.0
903,Caiuby,226.0
904,Gabriel,208.0
905,Iván Ramis,155.0
906,M. Suchý,200.0
907,T. Vilhena,227.0
908,E. Çolak,227.0
909,V. Germain,244.0
910,G. Hoarau,191.0
911,Sergio García,212.0
912,E. Choupo-Moting,226.0
913,J. Pinola,208.0
914,J. Hendrix,219.0
915,J. Izquierdo,254.0
916,S. Sydorchuk,202.0
917,C. Grenier,188.0
918,T. Strobl,176.0
919,V. Odjidja-Ofoe,179.0
920,N. Guzmán,196.0
921,F. Fabra,242.0
922,J. Maddison,230.0
923,K. El Ahmadi,218.0
924,M. Carcela-González,254.0
925,M. Gabbiadini,211.0
926,Gomes,177.0
927,M. Ritchie,221.0
928,G. Bou,226.0
929,Javi Fuego,194.0
930,E. Akbaba,218.0
931,J. Amavi,229.0
932,R. Malinovskyi,214.0
933,D. Welbeck,230.0
934,G. Conti,185.0
935,Bruno,142.0
936,Garry Rodrigues,257.0
937,A. Schwolow,150.0
938,L. Cook,223.0
939,P. Pérez,221.0
940,Gazzolisco,220.0
941,Jonatan Soriano,224.0
942,Rubén Peña,239.0
943,Mikel San José,154.0
944,P. Groß,205.0
945,L. Baines,214.0
946,A. Ogbonna,186.0
947,Juan Jesus,216.0
948,J. Martínez,217.0
949,N. Elvedi,213.0
950,G. Moreno,222.0
951,J. Valdivia,216.0
952,A. Carroll,177.0
953,Luís Neto,204.0
954,A. Pyatov,174.0
955,T. Gutiérrez,210.0
956,Álex Remiro,178.0
957,Wilson Eduardo,228.0
958,Jorge Meré,212.0
959,M. Elneny,198.0
960,D. Torres,205.0
961,Y. Bounou,149.0
962,A. Prijović,202.0
963,A. Jahanbakhsh,229.0
964,J. Calleri,220.0
965,Simão Acunha,242.0
966,N. Müller,243.0
967,L. Ocampos,237.0
968,J. Rodriguez,226.0
969,V. Ibišević,184.0
970,S. Rondón,208.0
971,Victor Sánchez,207.0
972,D. Suárez,228.0
973,K. Huntelaar,187.0
974,L. Dubois,210.0
975,André Pinto,152.0
976,K. Lala,222.0
977,O. Kıvrak,197.0
978,A. Bertolacci,220.0
979,E. Giaccherini,241.0
980,A. Živković,243.0
981,R. Ábila,208.0
982,P. Diop,189.0
983,D. Garmash,204.0
984,T. Chandler,202.0
985,R. Klavan,178.0
986,A. Miranchuk,222.0
987,D. Da Silva,181.0
988,D. Benaglio,161.0
989,T. Rincón,227.0
990,M. Pereira,214.0
991,C. Borges,197.0
992,J. Sand,198.0
993,Markel Bergara,199.0
994,Vágner Love,223.0
995,B. Bourigeaud,221.0
996,R. Soriano,227.0
997,D. Kuzyaev,231.0
998,R. Sambueza,213.0
999,Montoya,230.0
1000,A. Poli,224.0
1001,C. Austin,202.0
1002,L. Tonelli,214.0
1003,M. Zárate,244.0
1004,J. Sancho,254.0
1005,D. Basta,219.0
1006,Marçal,230.0
1007,Munir,227.0
1008,G. Sio,228.0
1009,J. McCarthy,195.0
1010,J. Aquino,247.0
1011,H. Pérez,231.0
1012,Jô,207.0
1013,R. Gurtner,147.0
1014,C. Sánchez,199.0
1015,M. Sissoko,220.0
1016,W. Anton,191.0
1017,E. Skhiri,204.0
1018,Rúben Vezo,205.0
1019,Jorge Molina,146.0
1020,M. Hasebe,201.0
1021,A. Schürrle,231.0
1022,O. Ighalo,237.0
1023,L. Acosta,260.0
1024,V. Babacan,174.0
1025,R. Aguilar,238.0
1026,Yeray,201.0
1027,J. Defoe,228.0
1028,L. Schøne,193.0
1029,C. Ünder,238.0
1030,M. Dabbur,223.0
1031,Roberto,189.0
1032,Djaniny,229.0
1033,Wallace,186.0
1034,Pedro Obiang,201.0
1035,D. Heintz,184.0
1036,N. Mukiele,216.0
1037,T. Vermaelen,198.0
1038,I. Abate,228.0
1039,Diego Llorente,206.0
1040,C. Wood,208.0
1041,Formosandrinho,233.0
1042,E. Pulgar,207.0
1043,V. Vasin,175.0
